formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
Dy3Bi(OsO4)4,"['O', 'Dy', 'Os', 'Bi']",-2.3022,-0.0535,0.0005,9.2937,3D,0.0535
Tb4Cr3PtF28,"['F', 'Cr', 'Tb', 'Pt']",-3.3378,-0.0302,0.9203,4.8958,3D,0.0302
LiLu3(Ni4P3)2,"['Li', 'P', 'Ni', 'Lu']",-0.9683,-0.0585,0.0033,8.1942,3D,0.0585
BaMgMn3O8,"['O', 'Mg', 'Mn', 'Ba']",-2.3163,-0.0242,1.8665,3.916,intercalated ion,0.0242
Tm2LuHgC,"['C', 'Tm', 'Lu', 'Hg']",-0.4303,-0.023,0.0013,10.8633,3D,0.023
Sr20(Ag3Hg)3,"['Sr', 'Ag', 'Hg']",-0.31,-0.0148,0.0044,4.708,intercalated ion,0.0148
CaAc3(PbAu2)2,"['Ca', 'Au', 'Pb', 'Ac']",-0.7547,-0.1614,0.0112,10.9561,intercalated ion,0.1614
NdYLu(Al3Ni2)3,"['Al', 'Ni', 'Y', 'Nd', 'Lu']",-0.6545,-0.0122,0.0061,5.7792,3D,0.0122
NpBi6(TeO9)2,"['O', 'Te', 'Bi', 'Np']",-1.9265,-0.0819,,7.9158,,0.0819
K9Rb7(PbSe4)4,"['K', 'Se', 'Rb', 'Pb']",-1.1279,-0.0147,,3.5759,,0.0147
PaTi3F15,"['F', 'Ti', 'Pa']",-3.7282,-0.8166,0.0015,3.2571,3D,0.8166
Tb2YTm3(Al3Os)8,"['Al', 'Y', 'Tb', 'Tm', 'Os']",-0.587,0.0,,7.937,,0.0
NaPb4ClO4,"['O', 'Na', 'Cl', 'Pb']",-1.5997,-0.0022,2.3823,6.6431,intercalated ion,0.0022
Li8La7DySn7Bi,"['Li', 'Sn', 'La', 'Dy', 'Bi']",-0.6938,-0.064,0.0045,5.8465,intercalated ion,0.064
Dy4NiB16Ir3,"['B', 'Ni', 'Dy', 'Ir']",-0.6127,-0.0383,0.0031,9.3207,3D,0.0383
Ho4FeSi4Ir,"['Si', 'Fe', 'Ho', 'Ir']",-0.8434,-0.0171,0.0027,8.8372,3D,0.0171
NdHo9Cd4(InPd)4,"['Pd', 'Cd', 'In', 'Nd', 'Ho']",-0.6274,-0.0074,0.0037,9.1459,3D,0.0074
Y6Al41Cr6,"['Al', 'Cr', 'Y']",-0.2817,-0.008,,3.5967,,0.008
SrLaPt4,"['Sr', 'La', 'Pt']",-0.9757,-0.0114,,13.7042,3D,0.0114
La2PtN2,"['N', 'La', 'Pt']",-1.4074,-0.1467,0.0252,9.2091,3D,0.1467
Ca8SmLu(Sn3H)2,"['H', 'Ca', 'Sn', 'Sm', 'Lu']",-0.6974,-0.0073,0.0404,4.5934,intercalated ion,0.0073
YEr9Cd3Fe,"['Fe', 'Y', 'Cd', 'Er']",-0.1808,-0.0264,0.0001,8.7762,3D,0.0264
Dy2YSn3Rh2Au,"['Y', 'Rh', 'Sn', 'Dy', 'Au']",-0.9058,-0.0311,0.0045,9.8944,3D,0.0311
Ba2MnFe5(PO4)6,"['O', 'P', 'Mn', 'Fe', 'Ba']",-2.5907,-0.0006,,3.9551,,0.0006
NaLa6PtI12,"['Na', 'I', 'La', 'Pt']",-1.6918,-0.0355,inf,4.8346,intercalated ion,0.0355
Pr7PaZn8(IrRh3)2,"['Zn', 'Rh', 'Pr', 'Ir', 'Pa']",-0.6426,-0.0288,,9.2031,3D,0.0288
Er9LuBiPb5,"['Er', 'Lu', 'Pb', 'Bi']",-0.5357,-0.006,0.0039,10.6438,3D,0.006
Y4Lu16Cd6TcRu,"['Y', 'Tc', 'Ru', 'Cd', 'Lu']",-0.248,-0.0314,inf,8.9426,3D,0.0314
DyLu2Zr3(SnIr)6,"['Zr', 'Sn', 'Dy', 'Lu', 'Ir']",-0.8106,-0.0335,,12.0561,3D,0.0335
Cs5Rb3(SnI6)2,"['Rb', 'Sn', 'I', 'Cs']",-1.5111,-0.0371,3.018,3.884,intercalated ion,0.0371
Y4Al18Ir2Pt3Rh,"['Al', 'Y', 'Rh', 'Ir', 'Pt']",-0.8881,-0.0669,0.0543,6.7069,3D,0.0669
LuPPd3Pt2,"['P', 'Pd', 'Lu', 'Pt']",-0.848,-0.0172,,13.4739,3D,0.0172
HoErNbB2Ru5,"['B', 'Nb', 'Ru', 'Ho', 'Er']",-0.4976,-0.0312,0.004,10.8506,3D,0.0312
Ga4Ir4Se5S7,"['S', 'Ga', 'Se', 'Ir']",-0.8067,-0.0212,1.5426,6.0946,3D,0.0212
SmTm3Mo4F28,"['F', 'Mo', 'Sm', 'Tm']",-3.5283,-0.166,,4.7817,,0.166
Dy7Er13Ir11Os,"['Dy', 'Er', 'Os', 'Ir']",-0.8049,-0.006,0.0038,12.5015,3D,0.006
PrY2Sn6Ru,"['Y', 'Ru', 'Sn', 'Pr']",-0.6002,-0.0257,0.0041,7.2714,3D,0.0257
Nb6Al6TcOs11,"['Al', 'Nb', 'Tc', 'Os']",-0.4355,-0.0048,0.0009,13.2484,3D,0.0048
Sm4Al5Ir9,"['Al', 'Sm', 'Ir']",-0.8707,-0.0928,,12.7608,3D,0.0928
CeNd3(B2Ir5)2,"['B', 'Ce', 'Nd', 'Ir']",-0.7109,-0.0232,0.0017,14.9229,3D,0.0232
Sc11FeRh3,"['Sc', 'Fe', 'Rh']",-0.4894,-0.0198,0.0028,4.7739,3D,0.0198
YLuAl8Co3Si,"['Al', 'Si', 'Co', 'Y', 'Lu']",-0.5782,-0.0184,0.0143,5.3117,3D,0.0184
Pr14Nd3(LuGa4)3,"['Ga', 'Pr', 'Nd', 'Lu']",-0.4645,-0.0133,0.0066,6.9152,3D,0.0133
Li2Hf3AlRh6,"['Li', 'Al', 'Rh', 'Hf']",-0.8496,-0.0229,0.003,10.7497,intercalated ion,0.0229
DyLu15Tl2(In2Co)2,"['Co', 'In', 'Dy', 'Lu', 'Tl']",-0.3382,-0.0205,0.0149,10.1165,3D,0.0205
Ho12Al3Si5Rh8,"['Al', 'Si', 'Rh', 'Ho']",-0.9304,-0.0263,0.0046,8.7298,3D,0.0263
Ca3Nd2Si12Ir19,"['Si', 'Ca', 'Nd', 'Ir']",-0.8719,-0.1188,0.0083,12.6544,intercalated ion,0.1188
NdEu3(Tc2O7)2,"['O', 'Tc', 'Nd', 'Eu']",-2.6231,-0.0846,0.0008,6.9022,3D,0.0846
Y20Ag3Ru2Au3,"['Y', 'Ru', 'Ag', 'Au']",-0.3815,-0.0155,0.0016,6.3434,3D,0.0155
Tb6Zr7Al9Os7,"['Al', 'Zr', 'Tb', 'Os']",-0.56,-0.0561,,9.224,,0.0561
Tb3NdTm2CoBr10,"['Co', 'Br', 'Nd', 'Tb', 'Tm']",-1.9329,-0.0796,0.1035,5.4528,3D,0.0796
Sc2Cd(Ni10P3)2,"['P', 'Sc', 'Ni', 'Cd']",-0.5393,-0.0356,0.0128,7.4612,3D,0.0356
Tb2Y3ErAl18,"['Al', 'Y', 'Tb', 'Er']",-0.4352,-0.0013,0.0025,4.3833,3D,0.0013
K2CaZr3Se8,"['K', 'Ca', 'Se', 'Zr']",-1.7304,-0.0825,,3.8494,,0.0825
TbEr4Tl3InPt2,"['In', 'Tb', 'Er', 'Pt', 'Tl']",-0.729,-0.0248,0.0017,11.9053,3D,0.0248
Dy7HoTm8(Ga3Co)2,"['Co', 'Ga', 'Dy', 'Ho', 'Tm']",-0.4153,-0.0018,0.0161,8.9505,3D,0.0018
Tb5Dy4Y3Ni4,"['Ni', 'Y', 'Tb', 'Dy']",-0.2415,-0.0067,0.0056,7.7423,3D,0.0067
NpU(BN)2,"['B', 'N', 'U', 'Np']",-1.1295,-0.0112,0.0012,12.4774,3D,0.0112
Nd6Sm2Er12Si15Ag,"['Si', 'Ag', 'Nd', 'Sm', 'Er']",-0.7262,-0.0383,,7.1932,3D,0.0383
Tb3Dy5InHgRh2,"['Rh', 'In', 'Tb', 'Dy', 'Hg']",-0.5445,-0.017,0.0029,9.4676,3D,0.017
TbNd3Tc4F28,"['F', 'Tc', 'Nd', 'Tb']",-3.3586,-0.0756,1.641,4.4407,3D,0.0756
SmMg2PaRh2,"['Mg', 'Rh', 'Sm', 'Pa']",-0.5919,-0.1105,0.0028,8.1857,3D,0.1105
Ho18Er2Sn9Pb7,"['Sn', 'Ho', 'Er', 'Pb']",-0.6405,-0.0126,inf,9.3964,3D,0.0126
LaEuNi2(Sn2Pd)2,"['Ni', 'Pd', 'Sn', 'La', 'Eu']",-0.6629,-0.0172,0.0018,8.3663,3D,0.0172
TbSm3VTc3B16,"['B', 'V', 'Tc', 'Sm', 'Tb']",-0.6141,-0.0525,0.0045,7.3862,3D,0.0525
AcAl4Au3,"['Al', 'Au', 'Ac']",-0.6251,-0.1441,0.015,9.1699,3D,0.1441
AgSeBr18,"['Se', 'Br', 'Ag']",-0.6399,-0.4215,,3.292,3D,0.4215
Y7Ho13Ir11Os,"['Y', 'Ho', 'Os', 'Ir']",-0.7781,-0.0048,0.0053,11.1866,3D,0.0048
PrHfPaN4,"['N', 'Pr', 'Hf', 'Pa']",-1.7853,-0.2276,,9.1882,3D,0.2276
TaNi14Sn4Ir,"['Ni', 'Sn', 'Ta', 'Ir']",-0.2486,-0.0057,0.0027,10.6257,3D,0.0057
Dy3(HoC2)5,"['C', 'Dy', 'Ho']",-0.3316,0.0009,0.0069,8.312,3D,0.0009
Dy3In4NiPt,"['Ni', 'In', 'Dy', 'Pt']",-0.6792,-0.0305,0.0199,9.8259,3D,0.0305
Tb3DyVPt3F28,"['F', 'V', 'Tb', 'Dy', 'Pt']",-3.1153,-0.0092,1.9779,5.7134,3D,0.0092
La4Au3O4,"['O', 'La', 'Au']",-2.686,-0.0324,0.0045,8.4692,3D,0.0324
Y9Cd(Sn3Se)2,"['Se', 'Y', 'Cd', 'Sn']",-1.033,-0.0228,0.0004,6.1557,3D,0.0228
La2Nd14Cd4NiPt3,"['Ni', 'Cd', 'La', 'Nd', 'Pt']",-0.4676,-0.0042,0.0031,7.9138,3D,0.0042
Lu3Hf5Pt4,"['Lu', 'Hf', 'Pt']",-0.8999,-0.0375,0.0041,14.151,3D,0.0375
Ho3Tm2OsRu,"['Ru', 'Ho', 'Tm', 'Os']",-0.3502,-0.0081,0.0005,10.5643,3D,0.0081
Ho8Ti9Re2Si16Rh,"['Si', 'Ti', 'Rh', 'Ho', 'Re']",-0.8018,-0.008,inf,7.1711,3D,0.008
ZrSc3(VRe3)2,"['Sc', 'V', 'Zr', 'Re']",-0.3538,-0.0405,0.0062,11.652,3D,0.0405
Ca3Ho2Sc(Si3Ru)8,"['Si', 'Ca', 'Sc', 'Ru', 'Ho']",-0.5795,-0.0146,0.0115,5.3484,intercalated ion,0.0146
Ta8Fe8Si13P,"['Si', 'P', 'Fe', 'Ta']",-0.5773,-0.0204,,9.6819,,0.0204
La5TaMoO12,"['O', 'Mo', 'La', 'Ta']",-3.5786,-0.0066,1.8396,6.4068,3D,0.0066
Er5Tm3(Nb3Si4)4,"['Si', 'Nb', 'Er', 'Tm']",-0.7924,-0.0879,0.0039,7.4918,3D,0.0879
Ti3Co16Si7W3,"['Si', 'Ti', 'Co', 'W']",-0.4919,-0.03,0.0007,9.0018,3D,0.03
Tb16InAg3Ir4,"['Ag', 'In', 'Tb', 'Ir']",-0.5159,-0.0118,0.003,9.8297,3D,0.0118
Ta14Ti(NbAl2)5,"['Al', 'Ti', 'Nb', 'Ta']",-0.2669,-0.0036,0.0009,10.6625,3D,0.0036
HoTm(ScSb5)2,"['Sc', 'Sb', 'Ho', 'Tm']",-0.6878,-0.0372,0.0121,7.1473,3D,0.0372
Pr17Tm3Si15As,"['Si', 'As', 'Pr', 'Tm']",-0.7222,-0.0254,inf,5.9913,3D,0.0254
HoTm3(SiPt2)4,"['Si', 'Ho', 'Tm', 'Pt']",-1.177,-0.0001,0.0024,13.9952,3D,0.0001
PrY3(WO6)2,"['O', 'Y', 'Pr', 'W']",-3.2764,-0.0141,3.6062,6.7015,3D,0.0141
Cs(SnS2)8,"['S', 'Sn', 'Cs']",-0.7785,-0.0104,,3.3162,intercalated ion,0.0104
TaTi2Fe4MoP4,"['P', 'Ti', 'Fe', 'Mo', 'Ta']",-0.9087,-0.0193,0.0159,8.044,3D,0.0193
TbZr(Re2Si)4,"['Si', 'Zr', 'Tb', 'Re']",-0.448,-0.0672,0.01,13.6785,3D,0.0672
CePr4USe10,"['Se', 'Ce', 'Pr', 'U']",-2.0233,-0.0156,0.0141,6.7518,3D,0.0156
NdYIn6,"['Y', 'In', 'Nd']",-0.4397,0.001,,7.4384,,0.001
Ba6Li2Ag19Hg3,"['Li', 'Ag', 'Ba', 'Hg']",-0.2734,-0.021,0.0044,7.8256,intercalated ion,0.021
CaPrTh(Si3Pd10)2,"['Si', 'Ca', 'Pd', 'Pr', 'Th']",-0.8034,-0.0462,,9.4542,,0.0462
TbHo2RuI3,"['Ru', 'I', 'Tb', 'Ho']",-1.1956,-0.0728,0.0518,7.0238,2D,0.0728
Pr10Nd2Ir3AuBr12,"['Br', 'Pr', 'Nd', 'Ir', 'Au']",-1.6695,-0.0434,0.0102,6.1953,intercalated ion,0.0434
AlCr20(ReC3)2,"['C', 'Al', 'Cr', 'Re']",-0.1366,-0.0387,0.0054,8.3313,3D,0.0387
TbEr11ZnCo4Pb,"['Co', 'Zn', 'Tb', 'Er', 'Pb']",-0.291,-0.0296,,9.5282,3D,0.0296
U2VReC4,"['C', 'V', 'Re', 'U']",-0.3187,-0.0392,0.0022,13.0563,3D,0.0392
Ho4CrFeC4,"['C', 'Cr', 'Fe', 'Ho']",-0.3186,-0.0283,0.0028,8.8115,3D,0.0283
Hf2CrB2Ru5,"['B', 'Cr', 'Ru', 'Hf']",-0.5612,-0.0554,0.0019,11.7359,3D,0.0554
SmErTm3(In2Pt)2,"['In', 'Sm', 'Er', 'Tm', 'Pt']",-0.813,-0.0043,0.005,10.4027,3D,0.0043
Ti2SiH,"['H', 'Si', 'Ti']",-0.7423,-0.0484,0.0149,4.273,3D,0.0484
Tm4Mn5Ga3O20,"['O', 'Mn', 'Ga', 'Tm']",-2.7134,-0.0049,,6.8233,3D,0.0049
Sr2YLu(Pt2O7)2,"['O', 'Sr', 'Y', 'Lu', 'Pt']",-2.1515,-0.0664,0.0036,8.473,intercalated ion,0.0664
Dy3Er6TmPb8,"['Dy', 'Er', 'Tm', 'Pb']",-0.5118,-0.0087,,10.5181,,0.0087
La8Nd6IrPd5,"['Pd', 'La', 'Nd', 'Ir']",-0.5248,-0.0049,,7.459,3D,0.0049
Pr10Si16Au,"['Si', 'Pr', 'Au']",-0.6672,-0.0618,0.0084,5.599,3D,0.0618
Dy5Tm7ZnCo4Sn,"['Co', 'Zn', 'Sn', 'Dy', 'Tm']",-0.3207,-0.0321,0.0026,9.2466,3D,0.0321
Sr2Al(AsPd2)6,"['Al', 'As', 'Sr', 'Pd']",-0.6542,-0.0272,0.0011,8.6231,intercalated ion,0.0272
Nd2Dy6In3Fe,"['Fe', 'In', 'Nd', 'Dy']",-0.2818,-0.0086,0.0009,8.2351,3D,0.0086
Dy3Al12FeRu2Rh,"['Al', 'Fe', 'Ru', 'Rh', 'Dy']",-0.661,-0.0077,0.0013,6.1688,3D,0.0077
Pa4Re3B16Os,"['B', 'Re', 'Os', 'Pa']",-0.6136,-0.332,,12.0777,3D,0.332
Pr3YMo(WN4)3,"['N', 'Y', 'Mo', 'Pr', 'W']",-1.1421,-0.1845,2.2067,6.828,3D,0.1845
Hf4Zr6Sn6P,"['P', 'Zr', 'Sn', 'Hf']",-0.6924,-0.0517,0.0035,8.9764,3D,0.0517
Sc3In3HgRh,"['Sc', 'Rh', 'In', 'Hg']",-0.5521,-0.0201,,7.461,3D,0.0201
Cs(MnSe2)2,"['Mn', 'Se', 'Cs']",-0.9317,-0.121,,4.5448,intercalated ion,0.121
Tb7Nd2Ho(In2Pt)4,"['In', 'Nd', 'Tb', 'Ho', 'Pt']",-0.8075,-0.0061,0.0011,9.7615,3D,0.0061
La18Nd2Si15P,"['Si', 'P', 'La', 'Nd']",-0.7204,-0.017,,5.3963,,0.017
Dy4CuNi3Hg2,"['Ni', 'Cu', 'Dy', 'Hg']",-0.4556,-0.0184,0.0002,10.7373,3D,0.0184
Nd3Y(ZrPt)4,"['Y', 'Zr', 'Nd', 'Pt']",-0.8069,-0.0243,0.0082,9.5695,3D,0.0243
Dy3Lu5(TcB6)4,"['B', 'Tc', 'Dy', 'Lu']",-0.7158,-0.1242,0.0148,8.8098,3D,0.1242
Ca2Tm(B3Rh4)2,"['B', 'Ca', 'Rh', 'Tm']",-0.6605,-0.0007,0.0009,8.1422,intercalated ion,0.0007
Zr8Ta3Si16W9,"['Si', 'Zr', 'Ta', 'W']",-0.6175,-0.0505,0.0019,9.7009,3D,0.0505
NaAsPbO4,"['O', 'Na', 'As', 'Pb']",-1.8869,-0.0162,3.1846,5.2955,intercalated ion,0.0162
Tb3Sm3(Sn3Hg2)2,"['Sn', 'Sm', 'Tb', 'Hg']",-0.6101,-0.0244,,9.5865,3D,0.0244
YEr4Tl3InPd2,"['Y', 'Pd', 'In', 'Er', 'Tl']",-0.6157,-0.034,0.001,10.4268,3D,0.034
Hf3ZrIn4Co2Hg,"['Co', 'Zr', 'In', 'Hf', 'Hg']",-0.2973,-0.0422,0.0065,10.341,3D,0.0422
Lu4As6Ir4Ru3,"['As', 'Ru', 'Lu', 'Ir']",-0.8506,-0.0464,0.0071,12.8676,3D,0.0464
PrNd3Cu2(SeO3)8,"['O', 'Cu', 'Se', 'Pr', 'Nd']",-2.0053,-0.0296,0.5376,4.692,3D,0.0296
Dy2ErLu3CoTe2,"['Co', 'Te', 'Dy', 'Er', 'Lu']",-0.7762,-0.0189,,9.6651,3D,0.0189
Ho6Tm2Sc11Si16Rh,"['Si', 'Sc', 'Rh', 'Ho', 'Tm']",-0.83,-0.0036,,5.5231,3D,0.0036
Eu2DyGa8Ag3,"['Ga', 'Ag', 'Eu', 'Dy']",-0.4572,-0.026,0.0013,7.8961,3D,0.026
Ce2Dy(InNi)3,"['Ni', 'In', 'Ce', 'Dy']",-0.4713,-0.0052,0.0009,8.572,3D,0.0052
NdSc9(Si5Ir2)4,"['Si', 'Sc', 'Nd', 'Ir']",-0.8682,-0.0033,0.002,6.8842,3D,0.0033
DySc7Ta12Si15Ge,"['Si', 'Sc', 'Ge', 'Dy', 'Ta']",-0.7621,-0.0819,,8.5247,3D,0.0819
HoTm7Al4,"['Al', 'Ho', 'Tm']",-0.2946,-0.0197,0.0015,7.935,3D,0.0197
TbPa7(BiPt2)4,"['Tb', 'Pt', 'Bi', 'Pa']",-0.8363,-0.1801,,14.9559,,0.1801
Pm2ZnCd2Pt3,"['Zn', 'Cd', 'Pm', 'Pt']",-0.7191,-0.0811,0.0125,11.4053,3D,0.0811
Y2Er8Cd3Ni,"['Ni', 'Y', 'Cd', 'Er']",-0.2403,-0.007,0.001,8.265,3D,0.007
Tb3Nd12Dy(CdCo)4,"['Co', 'Cd', 'Nd', 'Tb', 'Dy']",-0.2002,-0.0281,0.0111,7.7447,3D,0.0281
Ho7ErIn3Ru,"['Ru', 'In', 'Ho', 'Er']",-0.3925,-0.0255,0.0032,9.0283,3D,0.0255
HoTh2ScAl2Ir3,"['Al', 'Sc', 'Ho', 'Ir', 'Th']",-0.9283,-0.0184,0.0154,11.4099,3D,0.0184
Hf8TaTi8Nb3Ge16,"['Ti', 'Ge', 'Nb', 'Hf', 'Ta']",-0.737,-0.0654,0.0029,9.2784,3D,0.0654
Cd12PtAu3,"['Cd', 'Pt', 'Au']",-0.1651,-0.0203,0.0047,9.9341,3D,0.0203
Cr7GaPt16,"['Cr', 'Ga', 'Pt']",-0.2775,-0.016,,16.3442,3D,0.016
Li3La5Nd3Si12Pd,"['Li', 'Si', 'Pd', 'La', 'Nd']",-0.7172,-0.0257,0.0057,5.1108,intercalated ion,0.0257
HfZr3(VAs)4,"['V', 'As', 'Zr', 'Hf']",-0.8319,-0.0663,0.001,7.9471,3D,0.0663
YLu19Cd6ReOs,"['Y', 'Cd', 'Lu', 'Re', 'Os']",-0.2244,-0.0249,,9.9735,3D,0.0249
LiMg(Sc2Pt5)2,"['Li', 'Mg', 'Sc', 'Pt']",-1.0709,-0.0444,,13.8747,,0.0444
TbHo2CoSn6,"['Co', 'Sn', 'Tb', 'Ho']",-0.5477,-0.0196,,8.5755,3D,0.0196
Nd3Th(Si5Os3)2,"['Si', 'Nd', 'Os', 'Th']",-0.7138,-0.0338,0.0088,9.9624,3D,0.0338
TbPrSm2(MoO4)6,"['O', 'Mo', 'Pr', 'Sm', 'Tb']",-2.6401,-0.0045,3.5917,4.1432,3D,0.0045
Y7Ho13Sn15Sb,"['Y', 'Sn', 'Sb', 'Ho']",-0.777,-0.0102,inf,7.6581,3D,0.0102
La4Nd(B3Ru)2,"['B', 'Ru', 'La', 'Nd']",-0.4599,-0.0068,0.0032,7.1114,3D,0.0068
Er4Sc2AlGaPt4,"['Al', 'Sc', 'Ga', 'Er', 'Pt']",-1.0968,-0.0172,0.0081,10.8207,3D,0.0172
Pr10AlSi4Au,"['Al', 'Si', 'Pr', 'Au']",-0.5394,-0.0236,0.0021,6.398,3D,0.0236
Tm3Mn4Co5P6,"['P', 'Mn', 'Co', 'Tm']",-0.9247,-0.0308,0.0013,8.4452,3D,0.0308
AcLa16Pr3Sn16,"['Sn', 'La', 'Pr', 'Ac']",-0.7792,-0.0176,,6.5714,3D,0.0176
Ho5Lu3In4,"['In', 'Ho', 'Lu']",-0.3423,-0.0035,,9.0209,3D,0.0035
Sm3Dy(Fe2Cl)2,"['Cl', 'Fe', 'Sm', 'Dy']",-0.7941,-0.057,0.004,6.9875,3D,0.057
Hf3Ti2Ir2Pd,"['Ti', 'Pd', 'Hf', 'Ir']",-0.7494,-0.0271,0.0024,13.0112,3D,0.0271
NdY3B4I5,"['B', 'Y', 'I', 'Nd']",-1.2081,-0.0611,0.0213,4.6917,3D,0.0611
DyTh(BOs)4,"['B', 'Dy', 'Os', 'Th']",-0.4972,-0.0081,0.0071,13.2135,3D,0.0081
LiNd(ZnSn)2,"['Li', 'Zn', 'Sn', 'Nd']",-0.4567,-0.0097,0.0245,6.426,intercalated ion,0.0097
LiHo16InHg2IrPt3,"['Li', 'In', 'Ho', 'Ir', 'Pt', 'Hg']",-0.6062,-0.0159,,10.4039,,0.0159
Nd17Lu3SnPb15,"['Sn', 'Nd', 'Lu', 'Pb']",-0.5861,-0.0161,,8.9829,,0.0161
NaDy6RuI12,"['Na', 'Ru', 'I', 'Dy']",-1.5035,-0.0847,0.312,5.5635,intercalated ion,0.0847
Y12Er8Si15Hg,"['Si', 'Y', 'Er', 'Hg']",-0.7404,-0.0032,0.0007,6.0126,3D,0.0032
Tb3ErGa18(NiIr2)2,"['Ni', 'Ga', 'Tb', 'Er', 'Ir']",-0.6285,-0.0034,0.0049,9.8867,3D,0.0034
Tb3Tm(TcB6)2,"['B', 'Tc', 'Tb', 'Tm']",-0.6621,-0.1154,0.0125,8.2443,3D,0.1154
Ce2PuNi3Sb4,"['Ni', 'Sb', 'Ce', 'Pu']",-0.8523,-0.0939,0.0012,9.1608,3D,0.0939
Er4Pa4Ti9Si16W3,"['Si', 'Ti', 'Er', 'W', 'Pa']",-0.727,-0.1171,,7.9944,3D,0.1171
DyY(BIr)8,"['B', 'Y', 'Dy', 'Ir']",-0.5611,-0.0255,,13.3758,3D,0.0255
Dy12AlZn11C4,"['C', 'Al', 'Zn', 'Dy']",-0.4008,-0.0312,0.0091,8.342,3D,0.0312
Pr2DyEr5(CdPt)2,"['Cd', 'Pr', 'Dy', 'Er', 'Pt']",-0.605,-0.0012,0.0076,9.7042,3D,0.0012
LiHf5(TcAs)6,"['Li', 'As', 'Tc', 'Hf']",-0.7056,-0.0814,0.0056,10.9029,intercalated ion,0.0814
AlSi4Tc3,"['Al', 'Si', 'Tc']",-0.6099,-0.0762,0.0062,6.7253,3D,0.0762
NdYP2(Ru2C)2,"['C', 'P', 'Y', 'Ru', 'Nd']",-0.6554,-0.0114,0.0165,7.9373,3D,0.0114
Dy7Tm3(Bi2Ir)2,"['Dy', 'Tm', 'Ir', 'Bi']",-0.7845,-0.0376,0.0076,10.6005,3D,0.0376
V6Si6Tc11Ir,"['Si', 'V', 'Tc', 'Ir']",-0.5412,-0.0147,0.0039,8.9791,3D,0.0147
Eu2GaPdRh2,"['Ga', 'Rh', 'Pd', 'Eu']",-0.7121,-0.1175,0.0009,9.8939,3D,0.1175
Tb5HoSbO12,"['O', 'Sb', 'Tb', 'Ho']",-3.5609,-0.0023,0.0006,7.9674,3D,0.0023
TbRe2(TcGe)2,"['Ge', 'Tc', 'Tb', 'Re']",-0.3633,-0.085,0.0161,11.8321,3D,0.085
Eu5CuNi2,"['Ni', 'Cu', 'Eu']",-0.1744,-0.1052,,7.2865,3D,0.1052
PrSmPt10,"['Pr', 'Sm', 'Pt']",-0.6849,-0.0366,0.0028,16.4516,3D,0.0366
Ho5Lu3Ta11TiSi16,"['Si', 'Ti', 'Ho', 'Lu', 'Ta']",-0.7407,-0.0614,inf,10.0083,3D,0.0614
La4Nd6RuRh3,"['Ru', 'Rh', 'La', 'Nd']",-0.4414,-0.0118,0.0108,7.3088,3D,0.0118
La12Tc3PBr12,"['P', 'Br', 'Tc', 'La']",-1.6234,-0.0778,0.0018,5.2294,3D,0.0778
Tb6AlGe3Ru4,"['Al', 'Ge', 'Ru', 'Tb']",-0.6754,-0.0427,0.0005,8.9932,3D,0.0427
HoEr2Ga5Rh,"['Ga', 'Rh', 'Ho', 'Er']",-0.7586,-0.0409,,8.9461,,0.0409
La10Al3InRu6,"['Al', 'Ru', 'In', 'La']",-0.4446,-0.017,,7.2306,,0.017
Tb3Dy2(GaSb)2,"['Ga', 'Sb', 'Tb', 'Dy']",-0.8753,-0.0102,0.0022,8.0389,3D,0.0102
Nd2Zn20CuPt,"['Cu', 'Zn', 'Nd', 'Pt']",-0.2915,-0.0112,0.0176,7.9539,3D,0.0112
KSnGePd3,"['K', 'Ge', 'Pd', 'Sn']",-0.49,-0.0368,0.0124,7.255,intercalated ion,0.0368
Nd12B(PBr4)3,"['B', 'P', 'Br', 'Nd']",-1.8386,-0.1639,0.0163,5.5851,3D,0.1639
Zr10BiPb7,"['Zr', 'Pb', 'Bi']",-0.2856,-0.1273,0.0028,10.0008,3D,0.1273
La2Mg3PaRh3,"['Mg', 'Rh', 'La', 'Pa']",-0.7503,-0.191,0.0008,7.3297,3D,0.191
Tm3Sn3HgIrRh,"['Rh', 'Sn', 'Tm', 'Ir', 'Hg']",-0.7874,-0.0444,0.0251,11.428,3D,0.0444
Ti12Zn4C3N,"['C', 'N', 'Ti', 'Zn']",-0.6103,-0.0149,,5.2139,3D,0.0149
Dy7Ho9Cd4(IrOs)2,"['Cd', 'Dy', 'Ho', 'Os', 'Ir']",-0.4112,-0.0023,0.0067,10.1295,3D,0.0023
Tb11Sm(AlAu5)4,"['Al', 'Sm', 'Tb', 'Au']",-0.8391,-0.0071,,12.8232,3D,0.0071
Er10Tl3Tc,"['Tc', 'Er', 'Tl']",-0.2364,-0.0448,,10.0714,3D,0.0448
Dy13Ho3Cd4TcNi3,"['Ni', 'Tc', 'Cd', 'Dy', 'Ho']",-0.2779,-0.0162,0.0004,8.9679,3D,0.0162
NdAg6CO11,"['C', 'O', 'Ag', 'Nd']",-1.1185,-0.0352,0.0004,6.1404,3D,0.0352
Tb13LuRh6,"['Rh', 'Tb', 'Lu']",-0.61,-0.0025,,9.1181,3D,0.0025
Sc3GaP2Ir2Rh,"['P', 'Sc', 'Ga', 'Rh', 'Ir']",-1.1924,-0.0694,0.003,8.7789,3D,0.0694
