formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
CaPr2(Si3Pd10)2,"['Si', 'Ca', 'Pd', 'Pr']",-0.7842,-0.0319,0.0019,9.1221,intercalated ion,0.0319
NaPrH6Ru,"['H', 'Na', 'Ru', 'Pr']",-0.5944,-0.2137,2.3465,4.7339,intercalated ion,0.2137
LaDyTm5CoI12,"['Co', 'I', 'La', 'Dy', 'Tm']",-1.473,-0.1008,0.4607,5.8125,3D,0.1008
DyHo6Co6Sn22Au,"['Co', 'Sn', 'Dy', 'Ho', 'Au']",-0.4249,-0.0019,,8.9337,3D,0.0019
MgNiAg4(RhO4)2,"['O', 'Mg', 'Ni', 'Rh', 'Ag']",-1.1351,-0.0208,0.0022,6.8127,3D,0.0208
Lu2UO6,"['O', 'Lu', 'U']",-3.9603,-0.028,,10.4243,3D,0.028
CsSc(NbCl3)6,"['Cl', 'Sc', 'Nb', 'Cs']",-1.881,-0.0023,1.0427,3.4218,intercalated ion,0.0023
LaNd15MgCo4Hg3,"['Mg', 'Co', 'La', 'Nd', 'Hg']",-0.2069,-0.0302,0.0124,7.8148,3D,0.0302
ZnCd(Ni7B2)3,"['B', 'Ni', 'Zn', 'Cd']",-0.2452,-0.0053,0.0028,8.4034,3D,0.0053
Dy7Tm(SiI6)2,"['Si', 'I', 'Dy', 'Tm']",-1.4943,-0.1307,0.0034,5.5169,3D,0.1307
Tb16Ga5HgIr2,"['Ga', 'Tb', 'Ir', 'Hg']",-0.5168,-0.0105,0.0007,9.1459,3D,0.0105
Nd4Ho(InSb)2,"['In', 'Sb', 'Nd', 'Ho']",-0.8291,-0.0182,0.0037,7.2252,3D,0.0182
La12Re(SnI4)3,"['Sn', 'I', 'La', 'Re']",-1.3341,-0.0533,inf,5.6387,3D,0.0533
TbLu(Cu2P)4,"['P', 'Cu', 'Tb', 'Lu']",-0.5284,-0.0479,0.0015,8.1069,3D,0.0479
Tb3Dy7(In3Br)2,"['Br', 'In', 'Tb', 'Dy']",-0.6976,-0.0303,,8.2173,3D,0.0303
Y7Ho(Tm3Sn4)4,"['Y', 'Sn', 'Ho', 'Tm']",-0.7425,-0.0193,0.0092,7.873,3D,0.0193
Dy2CuNi11P7,"['P', 'Ni', 'Cu', 'Dy']",-0.7421,-0.0017,0.0156,7.9468,3D,0.0017
Pr2OsRhF14,"['F', 'Rh', 'Pr', 'Os']",-3.0506,0.0002,,4.7956,,0.0002
Tb2Y2Ga18(PdRu)3,"['Ga', 'Y', 'Ru', 'Pd', 'Tb']",-0.6158,-0.0207,,8.1455,3D,0.0207
DyTm9Si5Bi,"['Si', 'Dy', 'Tm', 'Bi']",-0.6854,-0.0125,0.0019,8.7057,3D,0.0125
Tb3ErCd3Co2,"['Co', 'Cd', 'Tb', 'Er']",-0.2939,0.0007,,8.7799,,0.0007
La13PrNd2Mg2(HgRu2)2,"['Mg', 'Ru', 'La', 'Pr', 'Nd', 'Hg']",-0.2924,-0.0234,,7.1158,3D,0.0234
